Clean Plaintiff,Plaintiff Type,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011
EASTERN DENTAL OF BR,Medical,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0
HAND SURGERY REHAB CENTER,Medical,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0
PENNSVILLE RADIOLOGY INC.,Medical,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0
ESSEX ORAL SURGERY &,Medical,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
N.J. ANESTHESIA ASSO C,Medical,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0
ANESTHESIA ASSOCIATE S OF,Medical,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
COMPLETE CARE MEDICA L CENTER,Medical,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0
SALL/MYERS MEDICAL A SSOCS,Medical,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ADVANCED MEDICAL CEN TER,Medical,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0
SAN DIEGO MEDICAL FE DERAL,Medical,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GENESIS HEALTHCARE,Medical,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0
CHIROPRACTIC HEALTH CARE ASSO C,Medical,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
GARDEN STATE SURGICA,Medical,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
PEDIATRIC MEDICAL CE NTER,Medical,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0
RADIOLOGY ASSOCI RAHWAY,Medical,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
LIBERTY SURGICAL ASS OCIATES,Medical,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SOMERSET SURGICAL CE NTER,Medical,0,0,0,1,0,0,1,0,1,0,1,0,0,0,0,0
RT 10 LANDING DENTAL ASSOC,Medical,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ALLENTOWN ANESTHESIA,Medical,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
MORRISTOWN ORTHOPEAD IC ASSOCI A,Medical,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
OVERLOOK HOSPITAL EM PLOYEE F,Misc Lender,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
NJ ANESTHESIA ASSOIC ATES,Medical,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
UNITY DENTAL HEALTH SERVICES P,Medical,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
EAST BERGEN IMAGING/ CASTRO,Medical,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
FREEDOM MEDICAL SUPP LY/PALUMB O,Medical,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
UNITED DENTAL GRP,Medical,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
DEVILLE DIAGNOSTICS IMAGING,Medical,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MID ATLANTIC SURGICA L ASS,Medical,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
KENNEDY & UNDERWOOD HOSPITALS,Medical,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0
CLIFTON SURGERY CT,Medical,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
LINCOLN MEDICAL CENT ER,Medical,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
PRIME CARE MEDICAL T RANSPORT,Medical,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
A L M ANESTHESIA ASS OCS,Medical,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ALLIED SURGICAL GROU P A,Medical,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0
ALL CARE MEDICAL P C,Medical,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0
SALL/MYERS MEDICAL ASSOC.,Medical,0,0,5,1,0,0,0,0,0,0,0,0,0,0,0,0
MARSH RADIOLOGY PROF ESS ASSOC,Medical,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
OP DENTAL MGMT,Medical,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
RURUAL METRO AMBULAN CE,Medical,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
S JERSEY DIAGNOSTICS,Medical,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0
DIAGNOSTIC VASULAR I MAGING AS,Medical,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
OVERLOOK HOSPITAL FE D CREDIT,Misc Lender,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
WOMENS HEALTH CARE O F UNION C O,Medical,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
SPARTA MEDICAL ASSOC IATES PA,Medical,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
COUNTY MANOR HEALTH CARE CENT E,Medical,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
SHREWSBURY SURGERY CTR,Medical,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0
DOVER IMAGING ASSOCI ATES,Medical,5,0,7,1,0,0,0,0,0,0,0,0,0,0,0,0
DELCREST MEDICAL PRO DUCTS & S E,Medical,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
COL DEPT/VASC-INTER RADIOLOGY,Medical,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MED/DIAGNOSTIC ASSOC,Medical,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0
ALBERT AMBULANCE,Medical,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0
SURGICAL MONITORING ASSOCIATE S,Medical,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
HUDSON COUNTY ANESTH ESIA,Medical,14,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0
NO JERSEY SURGICAL S PECIALIST,Medical,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
ORTHOPAEDIC CNTR OF NJ,Medical,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
PEDIATRIX MEDICAL GR P INC.,Medical,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
QUALTY MEDICAL ASSOC,Medical,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
MIDDLETOWN ORAL AND MAXILLOFA C,Medical,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
COOK MEDICAL INC,Medical,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
"HUDSON SURGICAL GROU P,",Medical,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
EASTERN DENTAL/PERIO OF BURLIN,Medical,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
AMBULATORY CNETER FO R ENDOSCO P,Medical,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
HAMILTON ORTHOPEDIC ASSOC,Medical,0,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0
BRACHFELD MEDICAL ASSOC,Medical,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MED PARK IMAGING PA,Medical,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
GOLUB ANIMAL HOSPITA L & ANIMA,Misc,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
EAST GENERAL HOSPITA L,Medical,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
DENTAL COSMETICS CON CEPTS,Medical,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0
DIAGNOSTIC IMAGING A SSOC/ORMS B,Medical,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
SOMERSET ORAL & MAXI SURGERY G P,Medical,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
HRIST HOSPITAL,Medical,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
HELEN FULD MEDICAL C ENTER,Medical,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SAINT MARY'S HOSPITAL,Medical,0,1,1,4,0,0,0,0,0,0,0,0,0,0,0,0
WJ ANESTHESIA ASSOC,Medical,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0
PLAISTIC SURGICAL AS SOC,Medical,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
VAIL VALLEY HOSPITAL,Medical,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
NEURO MEDICAL SYSTEM,Medical,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
WEILL CORNELL MEDICA L COLLEGE,Medical,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RHODE ISLAND HOSPITA L TRUST N A,Medical,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CAPE ATLANTIC ORAL & MAXILLOF,Medical,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0
TRENTON NEURO SURGIC AL ASSOC,Medical,0,2,5,0,0,0,0,1,0,0,0,0,0,0,0,0
PSS WORLD MEDICAL IN C,Medical,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OPEN MRI &IMAGING OF NWK,Medical,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
RADIOLOGY ASSOCIATES @ RAHWAY,Medical,8,4,0,1,0,2,0,0,2,0,0,0,0,0,0,0
THE FAMILY MEDICAL C NTR,Medical,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
AMBULATORY ANESTHESI A PHYSICA N,Medical,0,0,0,0,0,0,0,0,0,0,1,0,0,2,1,0
MID ATLANTIC SURGICA ASSOC,Medical,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0
PROFESSIONAL ORTHOPA,Medical,0,0,0,0,0,0,0,0,0,0,5,0,1,0,0,0
OCEAM MEDICAL CENTER,Medical,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
SURGICARE OF FAIRLAW N,Medical,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GROUP DENTAL ASSOC O F NUTLEY,Medical,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
ST.BARNABAS MEDICAL CTR,Medical,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
ASSOC IN ORTHOPEDIC SURGERY,Medical,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
REDI DIAGNOSITICS CR P,Medical,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0
MEDICAL DIAGNO ASSOC,Medical,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
SHORE POINT ORAL SURGICAL,Medical,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MULTI CARE AMBULANCE SRV INC,Medical,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
R.S. MEDICAL ASO SUS AN SYLVAN,Medical,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
RUPAL METRO AMBULANC E,Medical,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
ADVANCED IMAGING & RADIOLOGY,Medical,0,0,0,0,0,0,0,4,3,0,0,0,0,0,0,0
BONEL MEDICAL EQUIP,Medical,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
UNITED MEDICAL CENTE R/ESPADA,Medical,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
TRENTON ANESTHESLGY ASSOC,Medical,0,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0
UNITED MEDICAL CENTE R/RUIZ,Medical,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
EASTLANTIC DIAGNOSTI C INST,Medical,0,0,0,0,0,0,0,8,1,0,0,0,0,0,0,0
WASHINGTON TOWNSHIP DENTAL,Medical,0,0,2,3,0,1,0,0,0,0,0,0,0,0,0,0
E-MEDICAL INDUSTRIES INC,Medical,0,0,0,0,0,0,9,7,2,0,0,0,0,0,0,0
ACCUMED DIAGNOSTIC L AB INC,Medical,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
NORTH JERSEY PEDIATR IC ORTHOP A,Medical,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
ST FRANCIS MEDICAL C ENTER,Medical,1,0,4,1,1,2,1,0,0,0,0,0,0,10,6,0
ATLANTICE IMAGING GR P,Medical,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
PELOSI WOMENS MEDICAL,Medical,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
AMERICAN SURGICAL CN OF WEST O R,Medical,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AMBULATORY ANESTHESI A PHYSI,Medical,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0
STAT IMAGING @ MARLT ON,Medical,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
S. ANESTHESIA & PAIN MANAGEME N,Medical,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
NEW JERESEY ANESTHES IA ASSOC,Medical,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
FORKED RIVER MEDICAL GROUP,Medical,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
DISGNOSTIC IMAGING O F ELIZABE T,Medical,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
CLARION HOSPITAL,Medical,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
SALL/MYERS MEDICAL A SSOC & TR I,Medical,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
WEST MILFORD MEDICAL CENTER,Medical,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
SO JERSEY DIAGNOSTIC /RIVERA,Medical,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
HEAD & NECK SURGICAL ASSOCIATE S,Medical,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0
MULTI CARE AMBULANCE SVC,Medical,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DOCTORS RADIOLOGY CE NTER,Medical,12,7,6,5,0,0,0,0,1,14,10,3,19,4,3,0
PRINCETON SURGICAL A SSOCIATES,Medical,0,0,0,1,4,1,0,1,1,2,0,1,0,6,1,0
ST. JOSEPH'S HOSPITA L & MED,Medical,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ALLCARE MEDICAL AND PAIN MANG,Medical,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
EASTERN DENTAL CENTE R VINLAND,Medical,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
COLUMBIA PRESS ANEST HESIOLOGY,Medical,0,0,0,0,0,0,0,2,1,0,1,0,0,0,0,0
DR. SASSO - GENERAL SURGERY,Medical,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
MILLBURN MEDICAL CEN TER,Medical,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
PACE ORTHOPEDICS AND SPORTS ME D,Medical,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
CEDAR LANE MEDICAL,Medical,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
VALLEY DENTAL LLC,Medical,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ST. JOSPEHS HOSP. & MEDICAL,Medical,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CLOVERLEAF DENTAL CE NTER LLC,Medical,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
MEDICAL RADIOLOGY GR OUP,Medical,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
ALPHA DENTAL ASSOC,Medical,6,7,6,10,2,0,0,1,1,0,0,2,0,0,1,0
GARDEN STATE ORTHOPA ASSOC. PA,Medical,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
HUNTERDON ENDOSURGER Y,Medical,0,0,0,0,0,0,0,0,0,0,2,0,0,0,1,0
SR CLARE S HOSPITAL,Medical,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
SO MOUNTAIN IMAGING CTR,Medical,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NEWCOMB MEDICAT CTR,Medical,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
EBI MEDICAL SYSTEM,Medical,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
BERGEN DENTAL ASSOCI ATES PA,Medical,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0
PACE ORTHOPEDICS & S PRTS MEDI C,Medical,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
DOCTORS OF DENTAL ME DICINE,Medical,1,3,1,3,2,2,1,0,0,0,0,0,0,0,0,0
KEARNY DENTAL ASSOCI ATES PA,Medical,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
People’s United Bank,Misc Lender,195,293,322,194,181,164,37,5,3,1,0,0,0,0,0,0
BOULEVARD DENTAL ASS OCIATES,Medical,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0
NORTHERN NJ ANESTESIA,Medical,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
FAIR LAWN DENTAL ASSOC PA,Medical,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0
QUAKERBRIDGE RADIOLO GY LLC,Medical,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
UNION ANESTHESIA ASS O CIAT P. A,Medical,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
UNDERWOOD & KENNEDY HOSPITALS,Medical,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
AMERICAN DENTAL CO,Medical,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NO VALLEY ANESTHESIO,Medical,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
DAVID RAUCH/ORAL SURGERY G,Medical,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
NJ AMBULATORY ANESTHESI A,Medical,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
INTERIM HEALTH CARE SERVICES,Medical,4,3,1,1,0,0,0,0,0,0,0,0,0,0,0,0
R AND R SURGICAL ASS OC,Medical,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
MEDICAL CENTER OF OC EAN CO,Medical,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0
ATLANTIC ORAL SURGER Y & DENTA L,Medical,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
WATERS EDGE HEALTH CARE & RE H,Medical,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
WATER'S EDGE HEALTH CARE & RE H,Medical,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0
ABLE MEDICAL TRANSPO RTATION,Medical,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
ENGLEWOOD SURGICAL A SOC PC,Medical,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
LIBERTY ANESTHESIA & PAIN MA,Medical,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PAIN AND SURGERY AMB ULATORY C E,Medical,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RUTAL METRO AMBULANC E,Medical,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
COL PRESB DEPT ANEST HESIOLOGY,Medical,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0
HEALTH CARE INFORMAT ION SERV,Medical,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0
CHERRY HILL MEDICAL ASSOCIATE S,Medical,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OUTPATIENT ANESTHESI A,Medical,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CHILDRENS HOSPITAL MED GRP,Medical,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
SADDLEBROOK SURGICEN TER,Medical,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0
ST VINCENTS HOSPITAL OF STAT,Medical,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
U.P.A. SURGICAL ASSO CIATES,Medical,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
MEDICAL CENTER AT PR INETON,Medical,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
FAIRLAWN DIAGNOSTIC,Medical,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
SOMERSET ORAL & MAXI SURGERY G R,Medical,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
BERLIN MEDICAL ASSOC,Medical,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0
Worldwide Asset Purchasing,Debt Buyer,0,0,0,0,3,13,33,124,536,912,824,1432,2628,1157,14,0
ATLANTIC RADIOLOGIST S/LAMBADA R,Medical,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
DIAGNOSTIC MEDICAL C ONSULTANT S,Medical,0,0,0,0,0,0,0,0,1,35,35,16,15,1,0,0
TRINITY SURGICAL ASS OCIATES,Medical,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
AMERICAN IMAGING OF JERSEY CT Y,Medical,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0
MARLBORO MEDICAL CEN TER,Medical,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
SELECT ANESTHESIA AN D PAIN,Medical,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0
LAB TECH DENTAL DESI GN INC,Medical,1,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0
CLAYS AMBULANCE,Medical,5,0,5,6,1,0,0,0,0,0,0,0,0,0,0,0
EASTERN ORTHOPEDIC ASSOC,Medical,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0
RADIOLOGIC ASSOCIATE OF NORTH,Medical,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
DENTAL HEALTH PRODUC TS,Medical,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
PONZIO MEDICAL ASSOC IATES,Medical,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
NEW YORK UNIVERSITY MEDICAL,Medical,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
ALLENTOWN ANESTHESIA ASSOCIAT E,Medical,1,0,1,0,0,1,1,4,0,0,0,0,0,0,0,0
RADIOLOGY ASSOCIATES RAHWA,Medical,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
BAYLEY SETON HOSPITA L,Medical,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MEDICAL CARE INST,Medical,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
NORTHERN NJ ANESTHESI A,Medical,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0
HOLLY NAME HOSPITAL,Medical,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENGELWOOD HOSPITAL & MEDICAL C,Medical,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0
EAST ORANGE GENRERAL HOSPITAL,Medical,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
JACK GOLD SURGICAL A PPLICANCE,Medical,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
RAHWAY ANESTHEIOLOGI STS,Medical,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NO MOUNTAIN DENTAL,Medical,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
PROFESSIONAL DENTAL,Medical,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0
HAND SURGERY & REHAB .OF NJ,Medical,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
CHERRY HILL MEDICAL ASSOCIATE,Medical,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
COLUMBIA PRES VASCUL AR SURGER Y,Medical,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
SILVER DENTAL ASOC,Medical,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
SILVER HILL HOSPITAL INC.,Medical,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0
DIAGNOSTIC IMAGING A SSN/MERAN U,Medical,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
SOUTH JERSEY DIAGNOS TIC/TOZZI,Medical,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
MONTCLAIR SURGICALS ASSOCIATE S,Medical,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
MEDICAL CONSULTANTS OF NJ,Medical,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0
SPINAK MEDICAL EYE C ENTER,Medical,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
PACE ORTHOPEDICS&SPO RTS MED,Medical,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
UNIVERSAL MEDICAL & SURGICAL,Medical,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
UNITED MEDICAL CEN/F ORTUNA,Medical,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
ANESTHESIA MGT ASSC OF NJ,Medical,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0
OCEAN ANESTHESIA ASS OC,Medical,0,7,17,1,1,0,2,0,2,0,0,0,0,0,0,0
UNIVERSITYANESTHESI A,Medical,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MID-ATLANTIC SURGICA L ASSOC P C,Medical,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
PAE ORTHOPEDICS & SP ORTS MEDI C,Medical,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
CENTRAL JERSEY ELECT DIAGNOSTI C,Medical,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
MORRIS DENTAL,Medical,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
WOODLAWN RADIOLOGY A SSOCIATIO N,Medical,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
OCEN ANESTHESIA ASSO CIATES,Medical,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
CORSELL MRI & MEDICA L IMAGING,Medical,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
ROSELAND SURGICAL CE NTER,Medical,10,10,7,6,9,7,2,3,0,0,0,0,0,0,0,0
ELECTRICAL MEDICAL SYSTEMS I,Medical,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
ORTHOPAEDIC & JOINT RECONTRUC T,Medical,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FAMILY MEDICAL REHAB /LYONS,Medical,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
YOUNGS MEDICAL EQUIP,Medical,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
E-HEALTHCARE SOLUTIO NS INC,Medical,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
ELITE ORTHOPEDICS & SPORT MED,Medical,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RADIOLOGI ASSOC NJ,Medical,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
MULTI-CARE AMBULANC E,Medical,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ST PETERS UNIVERSITY HOSPITAL A,Medical,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
FREEDOM MEDICAL SUPP LY/SCHMID,Medical,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
JERSEY SHORE SURGICA L,Medical,0,0,1,0,0,0,0,1,1,1,0,0,0,0,0,0
TRENTON ANESTHESIOLO GY ASSOCS,Medical,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
RURAL METRO AMBULANC,Medical,0,0,0,0,3,7,15,9,9,12,17,5,0,0,0,0
ST. CLARE'S HOSPITA L,Medical,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
